file,digit,mean_zcr,mean_rms,energy,autocorr_lag1,mean_envelope,max_envelope,duration,mean_amplitude
2_george_0.wav,0,0.09130859375,0.20743679,163.22319,0.87865686,0.26329094,1.1132761,0.330375,0.16842195
2_george_1.wav,0,0.17496744791666666,0.1685445,198.83205,0.9215079,0.17428203,1.1404815,0.567875,0.111006275
2_george_10.wav,0,0.10244140625,0.248807,175.58118,0.9352088,0.28400418,1.087916,0.3185,0.17981778
2_george_11.wav,0,0.08504231770833333,0.2566937,236.52808,0.93578637,0.3108876,1.1012949,0.358125,0.19846554
2_george_12.wav,0,0.06954520089285714,0.23776166,252.60681,0.94803905,0.31068382,1.0540222,0.38475,0.19713768
2_george_13.wav,0,0.08756510416666667,0.21858351,169.31305,0.94093144,0.27605724,1.0037379,0.336875,0.17556204
2_george_14.wav,0,0.095703125,0.23434128,194.11684,0.9364982,0.27507833,1.248202,0.360625,0.17450437
2_george_15.wav,0,0.08000837053571429,0.23785461,252.07913,0.93797874,0.31201172,1.0126688,0.38675,0.19786957
2_george_16.wav,0,0.07700892857142858,0.20656376,190.91531,0.9429053,0.25676653,1.0360004,0.415125,0.1642251
2_george_17.wav,0,0.08126395089285714,0.2419389,263.54172,0.94010246,0.31255525,1.0488958,0.38975,0.19802627
2_george_18.wav,0,0.07107979910714286,0.26462314,303.05676,0.94580024,0.3392384,1.0604159,0.399625,0.21639459
2_george_19.wav,0,0.07456752232142858,0.24661095,262.7689,0.9499827,0.31862187,1.0606887,0.4025,0.2015445
2_george_2.wav,0,0.08349609375,0.24944218,284.7641,0.9230451,0.31021535,1.0824429,0.395875,0.19857396
2_george_20.wav,0,0.0916015625,0.19539014,122.477776,0.91747195,0.2278856,1.0987283,0.28825,0.14456698
2_george_21.wav,0,0.1177734375,0.17203206,91.06404,0.8306266,0.22031823,1.0010428,0.271125,0.14031994
2_george_22.wav,0,0.1009765625,0.22545755,149.68205,0.9308137,0.26925868,1.0534495,0.313375,0.17018206
2_george_23.wav,0,0.109619140625,0.19760127,142.17792,0.9049933,0.23030315,1.0703275,0.369,0.14654912
2_george_24.wav,0,0.10880533854166667,0.19023706,137.25565,0.9088008,0.24281654,1.0598773,0.340625,0.15365756
2_george_25.wav,0,0.1015625,0.20220587,124.60646,0.93154484,0.23521438,1.0165212,0.306125,0.14933561
2_george_26.wav,0,0.1025390625,0.2414815,175.87978,0.9214337,0.27559394,1.1734327,0.3,0.17349589
2_george_27.wav,0,0.103515625,0.18956448,131.06299,0.89363843,0.2266897,1.0447239,0.375,0.14394756
2_george_28.wav,0,0.09366861979166667,0.19538723,144.54361,0.90682256,0.24971098,1.0899209,0.349125,0.15984793
2_george_29.wav,0,0.09358723958333333,0.2444507,208.95383,0.9270483,0.2894017,1.1136584,0.38125,0.18309991
2_george_3.wav,0,0.07931082589285714,0.20714019,195.40376,0.9075558,0.26480344,1.0762726,0.39575,0.16919385
2_george_30.wav,0,0.08968098958333333,0.19174558,152.17929,0.92744,0.22746642,1.0264664,0.362375,0.14512813
2_george_31.wav,0,0.11005859375,0.21569283,138.72763,0.9047513,0.2413356,1.0613741,0.314125,0.1538421
2_george_32.wav,0,0.06533203125,0.17769821,108.51156,0.9437618,0.22459288,1.0384046,0.294125,0.14250357
