Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Spectral_Flatness,Label
1375.1578007434937,1064.986632497332,2589.0625,0.010480567,0
1059.625583266338,974.7127607608634,2159.9506578947367,0.011075474,0
1292.449583672553,979.4226131483628,2418.2942708333335,0.072519,0
1238.3660743685605,1018.076812298962,2452.6041666666665,0.011826199,0
1172.0687417869265,974.7075040020536,2290.52734375,0.008075496,0
1197.0511072409327,941.2849145018172,2243.106617647059,0.007786579,0
1189.7408960745825,926.3444353330729,2110.294117647059,0.006378624,0
1129.342511951207,948.3476321233512,2139.705882352941,0.008868772,0
1049.3139644133141,947.7536088375688,2101.953125,0.0063161277,0
957.1511002735026,899.2109321343646,1904.6052631578948,0.0056628915,0
1020.7440090840311,924.6592461980596,1997.5142045454545,0.006539501,0
1104.2514133336304,920.0272475612257,2069.878472222222,0.0073941317,0
1138.7726647073182,989.6966866591074,2250.372023809524,0.0075561716,0
1182.84355596771,1026.022802987909,2386.488970588235,0.016375512,0
1285.8623554120986,1030.8740645235816,2481.158088235294,0.014871798,0
1409.2427354082959,1026.804927683986,2611.328125,0.015390129,0
1211.2108255278854,1059.748310982791,2468.75,0.011689667,0
1437.3448832540441,1081.0430170316447,2751.46484375,0.0200997,0
1515.8130318046356,1059.360112679418,2715.1041666666665,0.03014766,0
1412.177865452383,1010.7256403688474,2559.765625,0.016657282,0
1326.3322465654023,1015.9791441460958,2503.90625,0.015488065,0
1522.2029433184164,1064.325918046893,2802.5173611111113,0.016914945,0
1425.2396924036332,1001.523957004564,2597.886029411765,0.022722181,0
1227.5745164821044,991.7401996767878,2317.578125,0.008334471,0
1539.61480798584,1111.511696984091,2963.9423076923076,0.030181142,0
1194.8250257052055,1002.4168480572656,2526.0416666666665,0.025204306,0
1226.4312529386855,941.2534477707175,2168.402777777778,0.010427859,0
1344.762625005025,1022.9921289082838,2522.9166666666665,0.022105254,0
1229.8746274744192,955.2930751591731,2220.8333333333335,0.010337592,0
1199.994646975261,942.8411349326134,2202.0089285714284,0.013920006,0
1296.453423008183,1024.9222034548825,2506.610576923077,0.015410015,0
1156.502637782058,984.4831074257727,2301.1363636363635,0.014297381,0
1483.8588919992874,1046.496082585218,2697.443181818182,0.0150334835,0
1395.2796350407477,1009.3405454258109,2562.5,0.012508967,0
1276.665642899272,999.1352472891735,2348.8051470588234,0.010722621,0
1174.2406810277562,1004.9719624463405,2407.6286764705883,0.011857117,0
1129.4271618227694,1018.5379556911167,2404.9479166666665,0.014325533,0
1340.9680102722912,1067.053903444606,2738.839285714286,0.026725193,0
1379.3023668466712,1050.1578711223685,2632.8125,0.016327133,0
1396.9902076199908,1043.425601513195,2618.75,0.016805533,0
1310.0844252474171,1005.7201668084776,2458.984375,0.015164809,0
1331.0893233288598,984.183987924462,2413.5416666666665,0.014531191,0
1278.4972006377607,1009.8605706358389,2373.53515625,0.015444228,0
1379.6005874843347,1025.7370307068995,2601.07421875,0.01727013,0
1340.519703348115,1002.9367535819392,2436.5234375,0.013611991,0
1221.0377716287542,1018.0154659307975,2407.7380952380954,0.007178787,0
1059.4581120294479,923.6699906932957,1995.907738095238,0.0046813553,0
1091.1280550589227,981.7957088936299,2185.724431818182,0.006999969,0
1155.1980061812367,979.7862197160638,2245.863970588235,0.006494019,0
1161.9446278039727,982.9393170112762,2255.2083333333335,0.008543939,0
756.2203647029769,752.4963295308122,1463.169642857143,0.0050203293,0
648.325144724908,664.8650712456525,1214.6139705882354,0.0021361415,0
681.2007092443773,718.4631386675821,1297.5852272727273,0.0029174464,0
719.2747173153969,710.0003433453018,1467.96875,0.004022022,0
804.146800282896,719.034849775346,1559.08203125,0.008142071,0
691.3672610877743,692.7026630468931,1338.8157894736842,0.0037070191,0
695.8524293714388,695.5214750687937,1357.421875,0.0037826386,0
699.5266086499096,711.8018089121824,1419.53125,0.0036208306,0
671.4305952860734,640.5350735005916,1303.8194444444443,0.0030155603,0
776.727399625467,713.279847921919,1481.1580882352941,0.00368295,0
665.5656369787555,677.8588156077362,1302.0833333333333,0.0036373613,0
649.1483619543003,641.8322913105017,1138.671875,0.002732229,0
625.4114328549977,613.8023202248817,1085.4779411764705,0.0018881016,0
706.3605894928094,697.0781239774839,1376.5625,0.0034023293,0
718.127631229772,721.251652515955,1366.7763157894738,0.003069449,0
760.1224544675424,736.6973104608542,1470.3947368421052,0.0034313705,0
788.9717911123969,783.1902565801238,1635.279605263158,0.004008563,0
771.0667513886513,788.4622662178421,1497.3958333333333,0.0049411356,0
701.096234712506,756.9108989773082,1325.390625,0.003196333,0
1055.1143877598934,862.7247388414172,1949.4243421052631,0.032464225,0
826.227934583158,789.7293767947253,1596.7261904761904,0.008180526,0
837.7296816698089,826.3991000463502,1674.4791666666667,0.0067890338,0
819.2100479282843,804.4143899551622,1588.8157894736842,0.0069945566,0
741.545517993419,751.5890495803317,1516.858552631579,0.0027098851,0
735.426754952637,748.5226500669162,1459.8214285714287,0.0070184795,0
