file,digit,mean_zcr,mean_rms,energy,autocorr_lag1,mean_envelope,max_envelope,duration,mean_amplitude
9_george_0.wav,9,0.14518229166666666,0.1424722,112.035385,0.68795085,0.1778287,1.0210692,0.523625,0.11354337
9_george_1.wav,9,0.17059326171875,0.11819622,69.958115,0.5628123,0.12090883,1.1762463,0.5,0.07627646
9_george_10.wav,9,0.14813232421875,0.14816986,109.53495,0.6400125,0.16030526,1.185975,0.482,0.1011063
9_george_11.wav,9,0.1348876953125,0.1278373,80.55969,0.6423128,0.14197885,1.0600297,0.457375,0.090383284
9_george_12.wav,9,0.13446044921875,0.13726962,94.535675,0.633865,0.15412602,1.108232,0.485125,0.0990706
9_george_13.wav,9,0.12939453125,0.15135075,96.91648,0.753547,0.18420863,1.0297059,0.43,0.11897595
9_george_14.wav,9,0.1390380859375,0.12319663,81.65756,0.6815098,0.13477346,1.1673683,0.484375,0.085690506
9_george_15.wav,9,0.13069661458333334,0.16321748,147.56827,0.7303656,0.18455304,1.2224644,0.54325,0.11891786
9_george_16.wav,9,0.14073350694444445,0.15795505,135.37886,0.7196395,0.1785779,1.1038628,0.537375,0.11514833
9_george_17.wav,9,0.12548828125,0.13305804,112.60133,0.67512023,0.15233262,1.1182315,0.59725,0.096318364
9_george_18.wav,9,0.12957763671875,0.18394339,160.60355,0.7458609,0.2046791,1.2011853,0.493875,0.13154206
9_george_19.wav,9,0.11005859375,0.16001295,162.30923,0.7594111,0.18299122,1.2031921,0.61225,0.11739707
9_george_2.wav,9,0.184326171875,0.122175656,73.47591,0.52935535,0.1262823,1.0806693,0.497875,0.08047044
9_george_20.wav,9,0.22726004464285715,0.10946822,55.788784,0.25099897,0.121207416,1.0024868,0.400875,0.07598811
9_george_21.wav,9,0.2078857421875,0.11373454,65.63783,0.38849077,0.12005667,1.0142287,0.50475,0.0760827
9_george_22.wav,9,0.255615234375,0.11773026,95.04135,0.27717125,0.124452256,1.0563065,0.612,0.07799388
9_george_23.wav,9,0.221875,0.13009532,110.922226,0.3164605,0.14610228,1.1271378,0.59775,0.092245735
9_george_24.wav,9,0.2675083705357143,0.117817394,59.599854,0.25575113,0.12161418,1.0472829,0.403875,0.07587704
9_george_25.wav,9,0.2210693359375,0.10839234,65.09486,0.4018746,0.116559975,0.9999999,0.473125,0.07355356
9_george_26.wav,9,0.21700613839285715,0.11263104,57.94423,0.3540835,0.10834563,1.0000216,0.4405,0.06761304
9_george_27.wav,9,0.21923828125,0.11990794,72.7709,0.3527823,0.13009627,1.0015248,0.46125,0.08202755
9_george_28.wav,9,0.25689697265625,0.14797996,100.70288,0.32565445,0.14753439,1.2454185,0.49175,0.094003774
9_george_29.wav,9,0.25396728515625,0.12571736,74.80732,0.29623294,0.13769865,1.1630577,0.459125,0.08750971
9_george_3.wav,9,0.22224934895833334,0.16856705,94.231674,0.55168545,0.19973661,1.0053067,0.335375,0.12623112
9_george_30.wav,9,0.16984049479166666,0.12746686,61.983826,0.5989069,0.15310314,1.1723644,0.344875,0.09710769
9_george_31.wav,9,0.20107421875,0.10784519,40.441963,0.378883,0.121571675,1.004595,0.281,0.07549768
